NB	STYLE	character	text	branch	SCENE	Character Art	VOICE	effect	BGM	other
1	MONOLOGUE(獨白)	玩家	那天下線前，徽章燙了一下。							
2	MONOLOGUE(獨白)	玩家	不是錯覺。掛在胸前的劍士徽章，溫度比周圍高了一點點，像剛被誰握過。							
3	MONOLOGUE(獨白)	玩家	你看了看它。花紋已經磨得不太清楚了——這半年你揮了太多次。							
4	DIALOGUE(對話)	你	……壞了嗎？							
5	MONOLOGUE(獨白)	玩家	隔天登入，你照舊往古城的方向走。那條路你走過幾百次，閉著眼睛都知道第幾步該轉彎。							
6	MONOLOGUE(獨白)	玩家	然後你在第三個轉角停住了。							
7	MONOLOGUE(獨白)	玩家	那裡多了一道門。							
8	MONOLOGUE(獨白)	玩家	不是新蓋的。牆上的苔痕和石縫的裂法，都跟旁邊的老牆一模一樣——它看起來已經在那裡很久了。							
9	MONOLOGUE(獨白)	玩家	久到你開始懷疑，是不是自己每次都剛好沒看見。							
10	MONOLOGUE(獨白)	玩家	徽章又燙了一下。這次很明確，像是有人在推你的背。							
11	MONOLOGUE(獨白)	玩家	門後是一片空地。沒有屋頂，光從上面漏下來，照著地上一圈一圈的痕跡。							
12	MONOLOGUE(獨白)	玩家	那是有人在同一個位置站了很久、轉了很多次身，才會留下的痕跡。							
13	MONOLOGUE(獨白)	玩家	空地中央坐著一個人。舊袍子洗到發白，膝上橫著一把沒有出鞘的劍。							
14	DIALOGUE(對話)	白鷺	坐。			白鷺				
15	DIALOGUE(對話)	你	……你在等我？							
16	DIALOGUE(對話)	白鷺	我沒有在等你。			白鷺				
17	DIALOGUE(對話)	白鷺	我在這裡。你剛好走進來。			白鷺				
18	MONOLOGUE(獨白)	玩家	她說話的方式很奇怪——不是冷淡，是那種「已經很久沒有需要解釋任何事」的平。							
19	DIALOGUE(對話)	你	那道門以前不在。							
20	DIALOGUE(對話)	白鷺	門一直都在。			白鷺				
21	DIALOGUE(對話)	白鷺	是你的徽章今天才看得見它。			白鷺				
22	DIALOGUE(對話)	你	你是誰？							
23	DIALOGUE(對話)	白鷺	白鷺。			白鷺				
24	DIALOGUE(對話)	你	公會的人？							
25	DIALOGUE(對話)	白鷺	不是。			白鷺				
26	DIALOGUE(對話)	你	那你為什麼在這裡？							
27	MONOLOGUE(獨白)	玩家	她停了一下。那個停頓比回答本身長。							
28	DIALOGUE(對話)	白鷺	……有人要我在這裡等。			白鷺				
29	DIALOGUE(對話)	你	等誰？							
30	DIALOGUE(對話)	白鷺	忘記了。			白鷺				
31	MONOLOGUE(獨白)	玩家	她說忘記了的時候，右手在膝上的劍鞘上敲了兩下。							
32	MONOLOGUE(獨白)	玩家	你這才注意到——那隻手只剩三根手指。							
33	DIALOGUE(對話)	你	你的手——							
34	DIALOGUE(對話)	白鷺	擋過一次不該擋的。			白鷺				
35	MONOLOGUE(獨白)	玩家	她把手收進袖子裡，動作自然得像做過很多次。							
36	DIALOGUE(對話)	白鷺	你的徽章磨成那樣，代表你揮了很多次。			白鷺				
37	DIALOGUE(對話)	白鷺	但揮得多，跟懂得為什麼揮，是兩件事。			白鷺				
38	MONOLOGUE(獨白)	玩家	她抬眼看你。那是進門以來第一次。							
39	DIALOGUE(對話)	白鷺	所以我問你——			白鷺				
40	DIALOGUE(對話)	白鷺	你的劍，是為了斬斷什麼？			白鷺				
41	CHOICE(選項)		（你發現自己沒辦法隨便回答。）							選項：為了護住身後的人 → holy ／ 選項：為了斬盡擋路的一切 → oni
42	DIALOGUE(對話)	你	為了護住身後的人。	holy						
43	MONOLOGUE(獨白)	玩家	白鷺沒有點頭，也沒有搖頭。她只是把膝上的劍立了起來。	holy						
44	DIALOGUE(對話)	白鷺	那你要有心理準備。	holy		白鷺				
45	DIALOGUE(對話)	白鷺	護人的劍不能只贏。它得撐住——撐到最後一個人走出去為止。	holy		白鷺				
46	DIALOGUE(對話)	白鷺	贏一次很容易。撐住很難。	holy		白鷺				
47	MONOLOGUE(獨白)	玩家	她站起身。空地上那些轉身的痕跡，正好對上她的腳。	holy						
48	DIALOGUE(對話)	白鷺	我當年沒撐住。	holy		白鷺				
49	DIALOGUE(對話)	你	……那個人怎麼了？	holy						
50	DIALOGUE(對話)	白鷺	不知道。我只知道我沒撐住。	holy		白鷺				
51	MONOLOGUE(獨白)	玩家	她握住劍柄。三根手指，握法你從來沒見過。	holy						
52	DIALOGUE(對話)	白鷺	站起來。讓我看看你現在的樣子。	holy		白鷺				
53	BATTLE(戰鬥)	白鷺	⚔️ 戰鬥：白鷺　她沒有拔劍。她只是走過來——然後你發現自己已經在擋了。	holy						必勝(mustWin)
54	MONOLOGUE(獨白)	玩家	她退了半步，把劍放下。	holy						
55	DIALOGUE(對話)	白鷺	……可以了。	holy		白鷺				
56	DIALOGUE(對話)	你	我贏了？	holy						
57	DIALOGUE(對話)	白鷺	你沒有倒。這比贏重要。	holy		白鷺				
58	MONOLOGUE(獨白)	玩家	胸前的徽章突然燙起來，燙到你必須把它摘下來。	holy						
59	MONOLOGUE(獨白)	玩家	它在你掌心裡開始改變形狀。不是碎裂，也不是重鑄——比較像是它終於想起了自己原本該是什麼樣子。	holy						
60	DIALOGUE(對話)	你	這是——	holy						
61	DIALOGUE(對話)	白鷺	它自己變的。跟我沒有關係。	holy		白鷺				
62	TRANSFER(轉職)		✨ 徽章進化：掌心裡的東西安靜下來。它變重了，而且比剛才冷。	holy						換發：job_holyblade_t2_v1　消耗一轉徽章＋變更登記費
63	DIALOGUE(對話)	白鷺	拿好。它現在還不認得你。	holy		白鷺				
64	DIALOGUE(對話)	你	為了斬盡擋路的一切。	oni						
65	MONOLOGUE(獨白)	玩家	白鷺笑了。那是進門以來她第一次笑，而且很短。	oni						
66	DIALOGUE(對話)	白鷺	好。至少你沒有騙我。	oni		白鷺				
67	DIALOGUE(對話)	白鷺	斬盡一切的劍走得快。快到某一天你會發現，擋路的東西裡面也包括你自己。	oni		白鷺				
68	DIALOGUE(對話)	你	那你會怎麼做？	oni						
