NB	STYLE	character	text	branch	SCENE	Character Art	VOICE	effect	BGM	other
1	MONOLOGUE(獨白)	玩家	徽章開始在你打完架之後發燙。一開始只有幾秒，後來變成一整晚。							
2	MONOLOGUE(獨白)	玩家	那天你收工回鎮上，聽見城牆邊有規律的敲打聲。							
3	MONOLOGUE(獨白)	玩家	那面牆你天天經過。你很確定牆邊沒有鐵匠鋪。							
4	MONOLOGUE(獨白)	玩家	但今天有。而且爐火看起來已經燒了很多年。							
5	MONOLOGUE(獨白)	玩家	一個左臂是義肢的男人背對著你，正在敲一塊燒紅的鐵。							
6	DIALOGUE(對話)	鐵砧	進來啊。站在外面幹嘛。			鐵砧				
7	DIALOGUE(對話)	你	……這裡以前沒有鋪子。							
8	DIALOGUE(對話)	鐵砧	有啊。你沒看見而已。			鐵砧				
9	MONOLOGUE(獨白)	玩家	他把鐵放回爐裡，轉過身，順手在你肩上拍了一下。							
10	MONOLOGUE(獨白)	玩家	很痛。							
11	DIALOGUE(對話)	你	……							
12	DIALOGUE(對話)	鐵砧	會痛就對了。不痛你記不住。			鐵砧				
13	DIALOGUE(對話)	你	你是誰？							
14	DIALOGUE(對話)	鐵砧	鐵砧。			鐵砧				
15	DIALOGUE(對話)	你	那是名字還是——							
16	DIALOGUE(對話)	鐵砧	是我在做的事。名字不重要。			鐵砧				
17	MONOLOGUE(獨白)	玩家	他抬起義肢，在爐邊敲了敲。金屬碰金屬的聲音。							
18	DIALOGUE(對話)	你	那隻手怎麼了？							
19	DIALOGUE(對話)	鐵砧	換掉了。			鐵砧				
20	DIALOGUE(對話)	你	為什麼不換一隻看起來像真的？							
21	MONOLOGUE(獨白)	玩家	他停了兩秒。							
22	DIALOGUE(對話)	鐵砧	因為我想每次抬手都記得。			鐵砧				
23	DIALOGUE(對話)	你	記得什麼？							
24	DIALOGUE(對話)	鐵砧	忘了。			鐵砧				
25	MONOLOGUE(獨白)	玩家	他說這句的時候在笑，但笑得不像在開玩笑。							
26	DIALOGUE(對話)	鐵砧	你揮斧的樣子我看過。			鐵砧				
27	DIALOGUE(對話)	你	你看過？							
28	DIALOGUE(對話)	鐵砧	這裡看得到很多東西。			鐵砧				
29	DIALOGUE(對話)	鐵砧	你很會打。但你只在贏的時候會打。			鐵砧				
30	DIALOGUE(對話)	你	……什麼意思。							
31	DIALOGUE(對話)	鐵砧	意思是你還沒有真的被逼到過。			鐵砧				
32	DIALOGUE(對話)	鐵砧	沒被逼到過的人，力氣是有上限的。			鐵砧				
33	BATTLE(戰鬥)	鐵砧	⚔️ 戰鬥：鐵砧　他把義肢往砧上一按，整間鋪子安靜下來。「來，逼我一次看看。」							必勝(mustWin)
34	MONOLOGUE(獨白)	玩家	他退開半步，把手上的鐵鎚扔回爐邊。							
35	DIALOGUE(對話)	鐵砧	……哦。			鐵砧				
36	DIALOGUE(對話)	鐵砧	你剛剛那下，不是打給我看的。			鐵砧				
37	DIALOGUE(對話)	你	什麼？							
38	DIALOGUE(對話)	鐵砧	你自己也沒發現。那才對。			鐵砧				
39	MONOLOGUE(獨白)	玩家	胸前的徽章燙得你不得不摘下來。							
40	MONOLOGUE(獨白)	玩家	它在你掌心裡改變形狀——邊緣變得更粗糙，像被誰用力握過太多次。							
41	TRANSFER(轉職)		✨ 徽章進化：它安靜下來的時候，還是熱的。							換發：job_berserker_t2_v1　消耗一轉徽章＋變更登記費
42	DIALOGUE(對話)	鐵砧	拿好。這東西比你想的難帶。			鐵砧				
43	MONOLOGUE(獨白)	玩家	城牆邊只剩下一片焦黑的地面。爐火沒有留下任何餘溫。							
44	MONOLOGUE(獨白)	玩家	『職業變更已登錄。變更登記費已自動結算。』							
