NB	STYLE	character	text	branch	SCENE	Character Art	VOICE	effect	BGM	other
1	MONOLOGUE(獨白)	玩家	那天你進礦坑補給，發現走廊底多了一道以前沒有的側門。							
2	MONOLOGUE(獨白)	玩家	門沒有鎖。裡面是一間工具間，所有東西都掛在該掛的位置上，整齊得有點嚇人。							
3	MONOLOGUE(獨白)	玩家	一個矮個子背對著你，正在把一排鎚子按長度重新排一次。							
4	DIALOGUE(對話)	石鬍子	門帶上。			石鬍子				
5	DIALOGUE(對話)	你	抱歉——							
6	DIALOGUE(對話)	石鬍子	不是要你走。是要你把門帶上。			石鬍子				
7	MONOLOGUE(獨白)	玩家	你把門帶上。他繼續排他的鎚子。							
8	DIALOGUE(對話)	你	你是誰？							
9	DIALOGUE(對話)	石鬍子	管這裡的。			石鬍子				
10	DIALOGUE(對話)	你	這裡以前沒有這間房間。							
11	DIALOGUE(對話)	石鬍子	有。你們每次都從門口走過去。			石鬍子				
12	MONOLOGUE(獨白)	玩家	他終於轉過身。鬍子編成三股，末端各綁著一小圈鐵絲。							
13	DIALOGUE(對話)	石鬍子	你的鎚子借我看一下。			石鬍子				
14	MONOLOGUE(獨白)	玩家	你遞過去。他掂了掂，皺眉。							
15	DIALOGUE(對話)	石鬍子	柄鬆了。你自己沒感覺？			石鬍子				
16	DIALOGUE(對話)	你	……有一點。							
17	DIALOGUE(對話)	石鬍子	有一點就是有。			石鬍子				
18	DIALOGUE(對話)	石鬍子	東西會壞不是問題。你知道它在壞、還照樣揮，那才是問題。			石鬍子				
19	MONOLOGUE(獨白)	玩家	他從牆上取下工具，三兩下把柄重新楔緊，遞回來。							
20	DIALOGUE(對話)	石鬍子	現在你欠我一次。			石鬍子				
21	DIALOGUE(對話)	你	為什麼要幫我修？							
22	DIALOGUE(對話)	石鬍子	因為我看不下去。			石鬍子				
23	DIALOGUE(對話)	你	就這樣？							
24	DIALOGUE(對話)	石鬍子	不然還要什麼理由。			石鬍子				
25	MONOLOGUE(獨白)	玩家	他坐回矮凳上，開始擦手。							
26	DIALOGUE(對話)	石鬍子	以前有人問過我同樣的問題。			石鬍子				
27	DIALOGUE(對話)	你	誰？							
28	DIALOGUE(對話)	石鬍子	……忘記了。			石鬍子				
29	MONOLOGUE(獨白)	玩家	他擦手的動作停了一下，然後繼續擦。							
30	BATTLE(戰鬥)	石鬍子	⚔️ 戰鬥：石鬍子　他從牆上取下最後一把鎚子——那把明顯比其他的舊很多。「試試看你修好的東西。」							必勝(mustWin)
31	MONOLOGUE(獨白)	玩家	他把鎚子掛回原位，位置分毫不差。							
32	DIALOGUE(對話)	石鬍子	可以了。			石鬍子				
33	DIALOGUE(對話)	你	這樣就可以了？							
34	DIALOGUE(對話)	石鬍子	你打完會把東西放回去。這種人不多。			石鬍子				
35	MONOLOGUE(獨白)	玩家	胸前的徽章開始發燙。							
36	MONOLOGUE(獨白)	玩家	它在你掌心裡變形——變得更沉，握起來的重心往前移了一點點。							
37	TRANSFER(轉職)		✨ 徽章進化：它安定下來的時候，重心剛好落在你握慣的位置。							換發：job_dwarflord_t2_v1　消耗一轉徽章＋變更登記費
38	DIALOGUE(對話)	石鬍子	走的時候門帶上。			石鬍子				
39	MONOLOGUE(獨白)	玩家	你回頭，走廊底就是牆。牆上連門框的痕跡都沒有。							
40	MONOLOGUE(獨白)	玩家	『職業變更已登錄。變更登記費已自動結算。』							
