NB	STYLE	character	text	branch	SCENE	Character Art	VOICE	effect	BGM	other
1	MONOLOGUE(獨白)	玩家	你的法杖開始在沒有施法的時候放電。很小，只有握著的時候才感覺得到。							
2	MONOLOGUE(獨白)	玩家	那天你循著那個感覺走，走到城外一片焦黑的空地。							
3	MONOLOGUE(獨白)	玩家	地上有三圈燒痕，一圈套一圈，中間站著一個女人。							
4	MONOLOGUE(獨白)	玩家	她正在記錄什麼，頭也沒抬。							
5	DIALOGUE(對話)	灰燼夫人	站遠一點。等一下還要燒第四次。			灰燼夫人				
6	DIALOGUE(對話)	你	……第四次？							
7	DIALOGUE(對話)	灰燼夫人	前三次數據不夠。			灰燼夫人				
8	DIALOGUE(對話)	你	你是故意燒的？							
9	DIALOGUE(對話)	灰燼夫人	不然呢。			灰燼夫人				
10	DIALOGUE(對話)	你	這裡以前是什麼？							
11	DIALOGUE(對話)	灰燼夫人	我的實驗室。三次都是。			灰燼夫人				
12	MONOLOGUE(獨白)	玩家	她終於抬頭。臉上沒有煤灰，也沒有燒傷——乾淨得不太合理。							
13	DIALOGUE(對話)	灰燼夫人	你的杖在放電。			灰燼夫人				
14	DIALOGUE(對話)	你	對。							
15	DIALOGUE(對話)	灰燼夫人	那不是故障。那是它在算。			灰燼夫人				
16	DIALOGUE(對話)	你	算什麼？							
17	DIALOGUE(對話)	灰燼夫人	算你到底想不想要更多。			灰燼夫人				
18	DIALOGUE(對話)	灰燼夫人	你們這些人有個共通點。			灰燼夫人				
19	DIALOGUE(對話)	灰燼夫人	學會控制之後就停下來了。因為控制的感覺太舒服。			灰燼夫人				
20	DIALOGUE(對話)	灰燼夫人	但元素不是拿來控制的。			灰燼夫人				
21	DIALOGUE(對話)	你	那是拿來幹嘛的？							
22	DIALOGUE(對話)	灰燼夫人	拿來借。			灰燼夫人				
23	DIALOGUE(對話)	灰燼夫人	借了要還。還不出來就燒掉。像我這裡。			灰燼夫人				
24	DIALOGUE(對話)	你	……那你為什麼還在借？							
25	MONOLOGUE(獨白)	玩家	她想了一下。							
26	DIALOGUE(對話)	灰燼夫人	因為有一次借到的東西，我還沒還完。			灰燼夫人				
27	DIALOGUE(對話)	你	那是什麼？							
28	DIALOGUE(對話)	灰燼夫人	忘記了。但它還在燒。			灰燼夫人				
29	BATTLE(戰鬥)	灰燼夫人	⚔️ 戰鬥：灰燼夫人　她在地上畫下第四個圈，站進去。「來，我們看看你借得到多少。」							必勝(mustWin)
30	MONOLOGUE(獨白)	玩家	火散了。地上多了第五道燒痕，形狀跟前四道都不一樣。							
31	DIALOGUE(對話)	灰燼夫人	這次的數據比上次好。			灰燼夫人				
32	DIALOGUE(對話)	你	這算通過嗎？							
33	DIALOGUE(對話)	灰燼夫人	我沒有在考你。我在看。			灰燼夫人				
34	MONOLOGUE(獨白)	玩家	法杖上的徽章開始發燙，燙到金屬部分微微變色。							
35	MONOLOGUE(獨白)	玩家	它在你手裡重新排列，像是有什麼在裡面重新算了一次。							
36	TRANSFER(轉職)		✨ 徽章進化：它冷下來的時候，表面浮出一層你沒見過的紋路。							換發：job_elementalist_t2_v1　消耗一轉徽章＋變更登記費
37	DIALOGUE(對話)	灰燼夫人	拿去。記得——借了要還。			灰燼夫人				
38	MONOLOGUE(獨白)	玩家	你回頭，空地上只有三圈燒痕。第四圈和第五圈都不在了。							
39	MONOLOGUE(獨白)	玩家	『職業變更已登錄。變更登記費已自動結算。』							
