NB	STYLE	character	text	branch	SCENE	Character Art	VOICE	effect	BGM	other
1	MONOLOGUE(獨白)	玩家	你開始在別人受傷之前先感覺到痛。							
2	MONOLOGUE(獨白)	玩家	不是預知，比較像是……某種提前的共鳴。你不喜歡這個感覺。							
3	MONOLOGUE(獨白)	玩家	那天你沿著那股痛走，走進一間你以為是廢墟的屋子。							
4	MONOLOGUE(獨白)	玩家	裡面很乾淨。地上鋪著草蓆，牆邊坐著一個人，正在幫一隻斷了腿的野獸包紮。							
5	DIALOGUE(對話)	無傷	先坐下。			無傷				
6	DIALOGUE(對話)	你	我沒有受傷。							
7	DIALOGUE(對話)	無傷	我知道。所以說坐下，不是說躺下。			無傷				
8	MONOLOGUE(獨白)	玩家	他包紮的動作很慢，慢到你以為他在拖時間。							
9	MONOLOGUE(獨白)	玩家	但那隻獸從頭到尾沒有掙扎。							
10	DIALOGUE(對話)	你	牠不怕你。							
11	DIALOGUE(對話)	無傷	牠怕。只是牠更痛。			無傷				
12	DIALOGUE(對話)	你	你是誰？							
13	DIALOGUE(對話)	無傷	他們叫我無傷。			無傷				
14	DIALOGUE(對話)	你	因為你治不好自己？							
15	DIALOGUE(對話)	無傷	因為我身上沒有傷。			無傷				
16	MONOLOGUE(獨白)	玩家	他捲起袖子。手臂上什麼都沒有——連舊疤都沒有。							
17	DIALOGUE(對話)	無傷	接走的傷不會留在自己身上。這是我們這條路的好處。			無傷				
18	DIALOGUE(對話)	你	那壞處呢？							
19	DIALOGUE(對話)	無傷	……你會忘記痛是什麼感覺。			無傷				
20	DIALOGUE(對話)	無傷	忘記了以後，就會接不該接的。			無傷				
21	DIALOGUE(對話)	你	你接過不該接的嗎？							
22	MONOLOGUE(獨白)	玩家	他把最後一圈繃帶打結，動作停在那裡。							
23	DIALOGUE(對話)	無傷	接過一次。			無傷				
24	DIALOGUE(對話)	你	後來呢？							
25	DIALOGUE(對話)	無傷	那個人活下來了。			無傷				
26	DIALOGUE(對話)	你	那不是很好嗎？							
27	DIALOGUE(對話)	無傷	……我不記得那是誰了。			無傷				
28	MONOLOGUE(獨白)	玩家	他放開手，野獸站起來，一跛一跛地走出門去。							
29	DIALOGUE(對話)	無傷	我只記得我接了。忘記是誰的痛，那個痛就沒有地方可以還。			無傷				
30	BATTLE(戰鬥)	無傷	⚔️ 戰鬥：無傷　他站起身，第一次擋在門口。「你先痛一次。這樣你才知道自己在接什麼。」							必勝(mustWin)
31	MONOLOGUE(獨白)	玩家	他讓開門口。							
32	DIALOGUE(對話)	無傷	可以了。			無傷				
33	DIALOGUE(對話)	你	我沒有打倒你。							
34	DIALOGUE(對話)	無傷	你沒有停下來替自己療。那才是我要看的。			無傷				
35	MONOLOGUE(獨白)	玩家	胸前的徽章燙起來——但那個燙不痛。							
36	MONOLOGUE(獨白)	玩家	它在你掌心裡舒展開來，像是有什麼原本被摺著的東西打開了。							
37	TRANSFER(轉職)		✨ 徽章進化：它靜下來的時候，掌心的溫度剛好跟體溫一樣。							換發：job_spiritmaster_t2_v1　消耗一轉徽章＋變更登記費
38	DIALOGUE(對話)	無傷	拿好。以後會有更多人靠著你站起來。			無傷				
39	MONOLOGUE(獨白)	玩家	屋子還在，但裡面空了。草蓆上沒有壓過的痕跡。							
40	MONOLOGUE(獨白)	玩家	『職業變更已登錄。變更登記費已自動結算。』							
