NB	STYLE	character	text	branch	SCENE	Character Art	VOICE	effect	BGM	other
1	MONOLOGUE(獨白)	玩家	你開始射不中。							
2	MONOLOGUE(獨白)	玩家	不是準頭掉了——是你放箭的瞬間，會突然不確定自己在瞄什麼。							
3	MONOLOGUE(獨白)	玩家	那天你走到射程的極限之外，想看看自己到底能看多遠。							
4	MONOLOGUE(獨白)	玩家	山脊上坐著一個人，瞇著眼看著更遠的地方。他旁邊放著一把弓，沒有上弦。							
5	DIALOGUE(對話)	遠山	坐。風要停了。			遠山				
6	DIALOGUE(對話)	你	……什麼？							
7	DIALOGUE(對話)	遠山	再等一下。			遠山				
8	MONOLOGUE(獨白)	玩家	你等了很久。久到你開始懷疑他是不是睡著了。							
9	MONOLOGUE(獨白)	玩家	然後風真的停了。							
10	DIALOGUE(對話)	遠山	現在。			遠山				
11	MONOLOGUE(獨白)	玩家	你順著他的視線望過去——那裡什麼都沒有。只有很遠很遠的一片林線。							
12	DIALOGUE(對話)	你	你在看什麼？							
13	DIALOGUE(對話)	遠山	看它什麼時候會動。			遠山				
14	DIALOGUE(對話)	你	那要等多久？							
15	DIALOGUE(對話)	遠山	不知道。等到會動為止。			遠山				
16	DIALOGUE(對話)	你	我最近射不中。							
17	DIALOGUE(對話)	遠山	嗯。			遠山				
18	DIALOGUE(對話)	你	……你不問為什麼？							
19	DIALOGUE(對話)	遠山	你自己知道為什麼。			遠山				
20	MONOLOGUE(獨白)	玩家	他終於轉頭看你。眼睛還是瞇著的。							
21	DIALOGUE(對話)	遠山	射不中不是手的問題。是你太急著看結果。			遠山				
22	DIALOGUE(對話)	遠山	你放完箭就去看有沒有中，對不對。			遠山				
23	DIALOGUE(對話)	你	不然要看什麼？							
24	DIALOGUE(對話)	遠山	看它飛。			遠山				
25	MONOLOGUE(獨白)	玩家	他撿起弓，開始上弦。動作慢得讓人難受。							
26	DIALOGUE(對話)	遠山	以前有人跟我說過同樣的話。			遠山				
27	DIALOGUE(對話)	你	誰？							
28	DIALOGUE(對話)	遠山	……我等他等了很久。後來就忘記在等什麼了。			遠山				
29	BATTLE(戰鬥)	遠山	⚔️ 戰鬥：遠山　他把弦拉滿，卻沒有放。「你先射我。我要看你放完之後在看哪裡。」							必勝(mustWin)
30	MONOLOGUE(獨白)	玩家	他鬆開弦，箭插進你腳邊三步的地方。							
31	DIALOGUE(對話)	遠山	可以了。			遠山				
32	DIALOGUE(對話)	你	我沒有中。							
33	DIALOGUE(對話)	遠山	最後三箭你沒有再抬頭確認。那三箭是你今天最好的。			遠山				
34	MONOLOGUE(獨白)	玩家	徽章燙起來。你摘下來的時候，它已經在變。							
35	MONOLOGUE(獨白)	玩家	它變得更薄、更長，像是要指向什麼。							
36	TRANSFER(轉職)		✨ 徽章進化：它靜下來的時候，尖端指著你剛才看的那個方向。							換發：job_sniper_t2_v1　消耗一轉徽章＋變更登記費
37	DIALOGUE(對話)	遠山	拿好。以後你會看得更遠——但別忘記看它飛。			遠山				
38	MONOLOGUE(獨白)	玩家	山脊上只剩下一枝插在地上的箭。你走過去的時候，它也不在了。							
39	MONOLOGUE(獨白)	玩家	『職業變更已登錄。變更登記費已自動結算。』							
