NB	STYLE	character	text	branch	SCENE	Character Art	VOICE	effect	BGM	other
1	MONOLOGUE(獨白)	玩家	你的徽章不燙。它只是變重了。							
2	MONOLOGUE(獨白)	玩家	重到你走路的時候會下意識偏一邊——像是它在拉你往某個方向去。							
3	MONOLOGUE(獨白)	玩家	你跟著那個方向走，走進一間茶館的後院。							
4	MONOLOGUE(獨白)	玩家	院子裡有一副棋，下到一半。棋盤旁邊坐著一個人，手上捏著一顆棋子，很久沒有落下。							
5	DIALOGUE(對話)	枯棋	你來看棋還是看人。			枯棋				
6	DIALOGUE(對話)	你	……我不知道。是它帶我來的。							
7	DIALOGUE(對話)	枯棋	那就是看人。			枯棋				
8	DIALOGUE(對話)	你	這局是你在跟誰下？							
9	DIALOGUE(對話)	枯棋	跟我自己。			枯棋				
10	DIALOGUE(對話)	你	那不是隨便怎麼下都可以？							
11	DIALOGUE(對話)	枯棋	對啊。所以很難。			枯棋				
12	MONOLOGUE(獨白)	玩家	他把棋子放回棋盒，整局就這樣停在那裡。							
13	DIALOGUE(對話)	枯棋	你用什麼武器？			枯棋				
14	DIALOGUE(對話)	你	我什麼都能用。							
15	DIALOGUE(對話)	枯棋	我知道。我問你用什麼。			枯棋				
16	DIALOGUE(對話)	你	……看情況。							
17	DIALOGUE(對話)	枯棋	那就是還沒選。			枯棋				
18	DIALOGUE(對話)	你	不選不行嗎？							
19	DIALOGUE(對話)	枯棋	可以。但你要知道自己是「還沒選」，不是「都可以」。			枯棋				
20	DIALOGUE(對話)	枯棋	這兩個差很多。			枯棋				
21	DIALOGUE(對話)	你	你為什麼在這裡？							
22	DIALOGUE(對話)	枯棋	等一局下完。			枯棋				
23	DIALOGUE(對話)	你	跟你自己那局？							
24	DIALOGUE(對話)	枯棋	不是。是別人的。			枯棋				
25	DIALOGUE(對話)	你	誰的？							
26	MONOLOGUE(獨白)	玩家	他看著棋盤，很久。							
27	DIALOGUE(對話)	枯棋	……我忘記是誰在下了。但棋還在動。			枯棋				
28	DIALOGUE(對話)	你	怎麼可能。							
29	DIALOGUE(對話)	枯棋	你看不到不代表沒有在動。			枯棋				
30	BATTLE(戰鬥)	枯棋	⚔️ 戰鬥：枯棋　他把棋盤推到一邊，站起來。「你問我用什麼武器好——我問你，你要解決什麼問題。」							必勝(mustWin)
31	MONOLOGUE(獨白)	玩家	他坐回原位，把棋子一顆一顆撿回盒裡。							
32	DIALOGUE(對話)	枯棋	可以了。			枯棋				
33	DIALOGUE(對話)	你	你根本沒有認真打。							
34	DIALOGUE(對話)	枯棋	我在看你怎麼決定的。那個比你打得多用力重要。			枯棋				
35	MONOLOGUE(獨白)	玩家	徽章在你手上變輕了——輕到不太真實。							
36	MONOLOGUE(獨白)	玩家	它變形的方式跟你想的不一樣：不是變銳利，是變得更平。							
37	TRANSFER(轉職)		✨ 徽章進化：它靜下來的時候，重量剛好消失。你得低頭確認它還在。							換發：job_sage_t2_v1　消耗一轉徽章＋變更登記費
38	DIALOGUE(對話)	枯棋	拿去。以後你不用自己動手的次數會變多。			枯棋				
39	MONOLOGUE(獨白)	玩家	後院空了。棋盤還在，但上面一顆子都沒有。							
40	MONOLOGUE(獨白)	玩家	『職業變更已登錄。變更登記費已自動結算。』							
