NB	STYLE	character	text	branch	SCENE	Character Art	VOICE	effect	BGM	other
1	MONOLOGUE(獨白)	玩家	你開始在戰鬥的節奏裡聽見別的東西。							
2	MONOLOGUE(獨白)	玩家	不是幻聽——是那些腳步、揮擊、呼吸，湊在一起變成了某種你認得的拍子。							
3	MONOLOGUE(獨白)	玩家	你循著拍子走進一條巷子，聲音是從一間沒有招牌的酒館傳出來的。							
4	MONOLOGUE(獨白)	玩家	裡面沒有客人。一個人坐在角落彈琴，那把琴只剩三根弦。							
5	DIALOGUE(對話)	斷弦	進來的時候踩到第二拍了。			斷弦				
6	DIALOGUE(對話)	你	……啊？							
7	DIALOGUE(對話)	斷弦	沒關係。大部分人踩不到。			斷弦				
8	DIALOGUE(對話)	你	你的琴——							
9	DIALOGUE(對話)	斷弦	三根。夠了。			斷弦				
10	DIALOGUE(對話)	你	本來有幾根？							
11	DIALOGUE(對話)	斷弦	不重要。			斷弦				
12	MONOLOGUE(獨白)	玩家	他繼續彈。那個旋律很簡單，但你發現自己的呼吸開始跟著它走。							
13	DIALOGUE(對話)	你	你在做什麼？							
14	DIALOGUE(對話)	斷弦	在等你調過來。			斷弦				
15	DIALOGUE(對話)	你	調什麼？							
16	DIALOGUE(對話)	斷弦	你走進來的時候快了半拍。現在正好。			斷弦				
17	DIALOGUE(對話)	斷弦	你唱歌的時候，是為了讓自己好聽，還是讓旁邊的人好走？			斷弦				
18	DIALOGUE(對話)	你	……有差嗎？							
19	DIALOGUE(對話)	斷弦	差很多。			斷弦				
20	DIALOGUE(對話)	斷弦	前面那種，你會一直想被聽見。後面那種，你會希望沒有人注意到你。			斷弦				
21	DIALOGUE(對話)	斷弦	能撐住整隊的那種人，通常沒有人記得他的名字。			斷弦				
22	DIALOGUE(對話)	你	那你被記得嗎？							
23	MONOLOGUE(獨白)	玩家	他停下手。三根弦的餘音拖得很長。							
24	DIALOGUE(對話)	斷弦	以前有人記得。			斷弦				
25	DIALOGUE(對話)	你	現在呢？							
26	DIALOGUE(對話)	斷弦	……我忘記他長什麼樣子了。但那首歌我還記得。			斷弦				
27	BATTLE(戰鬥)	斷弦	⚔️ 戰鬥：斷弦　他撥了一個和弦，整間酒館的空氣沉下去半拍。「跟上來。跟不上就不用唱了。」							必勝(mustWin)
28	MONOLOGUE(獨白)	玩家	最後一個音收乾淨了。他把手放在弦上止音。							
29	DIALOGUE(對話)	斷弦	可以了。			斷弦				
30	DIALOGUE(對話)	你	我有跟上嗎？							
31	DIALOGUE(對話)	斷弦	你有兩次跟丟。但你沒有停下來重來——你直接接到下一小節。			斷弦				
32	DIALOGUE(對話)	斷弦	那才是要緊的。			斷弦				
33	MONOLOGUE(獨白)	玩家	徽章開始震動，頻率跟剛才那首曲子一樣。							
34	MONOLOGUE(獨白)	玩家	它在你手裡拉長，變成一個更適合握著、也更適合放下的形狀。							
35	TRANSFER(轉職)		✨ 徽章進化：它停下來的時候，你發現自己在跟著它的餘震呼吸。							換發：job_minstrel_t2_v1　消耗一轉徽章＋變更登記費
36	DIALOGUE(對話)	斷弦	拿好。以後你的拍子會變成別人的。			斷弦				
37	MONOLOGUE(獨白)	玩家	酒館的門開著，裡面沒有人，也沒有琴。							
38	MONOLOGUE(獨白)	玩家	『職業變更已登錄。變更登記費已自動結算。』							
