NB	STYLE	character	text	branch	SCENE	Character Art	VOICE	effect	BGM	other
1	MONOLOGUE(獨白)	玩家	你的結界開始撐得比以前久。久到你自己都覺得不對勁。							
2	MONOLOGUE(獨白)	玩家	那天你在野外收到求救訊號，趕過去的時候，戰鬥已經結束了。							
3	MONOLOGUE(獨白)	玩家	地上躺著六個人，全部都還活著。							
4	MONOLOGUE(獨白)	玩家	他們中間站著一個人，張開的護盾剛好把六個人圍在裡面，一個都沒有漏掉。							
5	DIALOGUE(對話)	壁	不用過來。他們沒事。			壁				
6	DIALOGUE(對話)	你	……你一個人擋下來的？							
7	DIALOGUE(對話)	壁	我沒有擋下來。我只是站在這裡。			壁				
8	MONOLOGUE(獨白)	玩家	護盾散掉的時候，你才發現那個人身形其實很小。							
9	DIALOGUE(對話)	你	你怎麼做到的？							
10	DIALOGUE(對話)	壁	站著就好。			壁				
11	DIALOGUE(對話)	你	不可能只是站著。							
12	DIALOGUE(對話)	壁	真的只是站著。			壁				
13	DIALOGUE(對話)	壁	擋不擋得住不是我決定的。我只決定站在哪裡。			壁				
14	MONOLOGUE(獨白)	玩家	她把最後一個傷者扶起來，交給同伴，然後坐到地上。							
15	DIALOGUE(對話)	壁	坐一下。剛剛比較久。			壁				
16	DIALOGUE(對話)	你	你打倒過幾個人？							
17	DIALOGUE(對話)	壁	零。			壁				
18	DIALOGUE(對話)	你	……零？							
19	DIALOGUE(對話)	壁	這輩子沒有打倒過任何人。			壁				
20	DIALOGUE(對話)	你	那你怎麼保護他們？							
21	DIALOGUE(對話)	壁	我不需要贏。他們站著就好。			壁				
22	MONOLOGUE(獨白)	玩家	她抬頭看你。							
23	DIALOGUE(對話)	壁	你也一樣。你的手在抖，但你剛剛第一件事是看他們有沒有事，不是看敵人跑到哪去。			壁				
24	DIALOGUE(對話)	壁	那個順序不會騙人。			壁				
25	DIALOGUE(對話)	你	你為什麼在這裡？							
26	DIALOGUE(對話)	壁	等一個人回來。			壁				
27	DIALOGUE(對話)	你	他去哪了？							
28	DIALOGUE(對話)	壁	不知道。我只知道我要站在他回來會經過的地方。			壁				
29	DIALOGUE(對話)	你	那是哪裡？							
30	DIALOGUE(對話)	壁	……我已經忘記了。所以我到處站。			壁				
31	BATTLE(戰鬥)	壁	⚔️ 戰鬥：壁　她站起來，張開護盾，把你圈在外面。「你打進來。打不進來就不用談了。」							必勝(mustWin)
32	MONOLOGUE(獨白)	玩家	護盾碎了一角。她放下手。							
33	DIALOGUE(對話)	壁	可以了。			壁				
34	DIALOGUE(對話)	你	我打破了。							
35	DIALOGUE(對話)	壁	對。但你破的是我讓你破的那一角。			壁				
36	DIALOGUE(對話)	壁	你有看出來哪裡最薄——那才是我要看的。			壁				
37	MONOLOGUE(獨白)	玩家	徽章在你掌心變得很涼。							
38	MONOLOGUE(獨白)	玩家	它攤開來，變成一個更大、更薄的形狀。像是準備要蓋住什麼。							
39	TRANSFER(轉職)		✨ 徽章進化：它靜下來的時候，涼得像剛從水裡拿出來。							換發：job_sanctum_t2_v1　消耗一轉徽章＋變更登記費
40	DIALOGUE(對話)	壁	拿好。以後你能圈住的人會變多。			壁				
41	MONOLOGUE(獨白)	玩家	野地上沒有戰鬥的痕跡，也沒有六個人躺過的凹陷。							
42	MONOLOGUE(獨白)	玩家	『職業變更已登錄。變更登記費已自動結算。』							
