CHAPTER	NB	STYLE	character	text	branch	SCENE	Character Art	VOICE	effect	BGM	other
1.劍士 → 聖劍士／劍鬼	1	MONOLOGUE(獨白)	玩家	那天下線前，徽章燙了一下。							
1.劍士 → 聖劍士／劍鬼	2	MONOLOGUE(獨白)	玩家	不是錯覺。掛在胸前的劍士徽章，溫度比周圍高了一點點，像剛被誰握過。							
1.劍士 → 聖劍士／劍鬼	3	MONOLOGUE(獨白)	玩家	你看了看它。花紋已經磨得不太清楚了——這半年你揮了太多次。							
1.劍士 → 聖劍士／劍鬼	4	DIALOGUE(對話)	你	……壞了嗎？							
1.劍士 → 聖劍士／劍鬼	5	MONOLOGUE(獨白)	玩家	隔天登入，你照舊往古城的方向走。那條路你走過幾百次，閉著眼睛都知道第幾步該轉彎。							
1.劍士 → 聖劍士／劍鬼	6	MONOLOGUE(獨白)	玩家	然後你在第三個轉角停住了。							
1.劍士 → 聖劍士／劍鬼	7	MONOLOGUE(獨白)	玩家	那裡多了一道門。							
1.劍士 → 聖劍士／劍鬼	8	MONOLOGUE(獨白)	玩家	不是新蓋的。牆上的苔痕和石縫的裂法，都跟旁邊的老牆一模一樣——它看起來已經在那裡很久了。							
1.劍士 → 聖劍士／劍鬼	9	MONOLOGUE(獨白)	玩家	久到你開始懷疑，是不是自己每次都剛好沒看見。							
1.劍士 → 聖劍士／劍鬼	10	MONOLOGUE(獨白)	玩家	徽章又燙了一下。這次很明確，像是有人在推你的背。							
1.劍士 → 聖劍士／劍鬼	11	MONOLOGUE(獨白)	玩家	門後是一片空地。沒有屋頂，光從上面漏下來，照著地上一圈一圈的痕跡。							
1.劍士 → 聖劍士／劍鬼	12	MONOLOGUE(獨白)	玩家	那是有人在同一個位置站了很久、轉了很多次身，才會留下的痕跡。							
1.劍士 → 聖劍士／劍鬼	13	MONOLOGUE(獨白)	玩家	空地中央坐著一個人。舊袍子洗到發白，膝上橫著一把沒有出鞘的劍。							
1.劍士 → 聖劍士／劍鬼	14	DIALOGUE(對話)	白鷺	坐。			白鷺				
1.劍士 → 聖劍士／劍鬼	15	DIALOGUE(對話)	你	……你在等我？							
1.劍士 → 聖劍士／劍鬼	16	DIALOGUE(對話)	白鷺	我沒有在等你。			白鷺				
1.劍士 → 聖劍士／劍鬼	17	DIALOGUE(對話)	白鷺	我在這裡。你剛好走進來。			白鷺				
1.劍士 → 聖劍士／劍鬼	18	MONOLOGUE(獨白)	玩家	她說話的方式很奇怪——不是冷淡，是那種「已經很久沒有需要解釋任何事」的平。							
1.劍士 → 聖劍士／劍鬼	19	DIALOGUE(對話)	你	那道門以前不在。							
1.劍士 → 聖劍士／劍鬼	20	DIALOGUE(對話)	白鷺	門一直都在。			白鷺				
1.劍士 → 聖劍士／劍鬼	21	DIALOGUE(對話)	白鷺	是你的徽章今天才看得見它。			白鷺				
1.劍士 → 聖劍士／劍鬼	22	DIALOGUE(對話)	你	你是誰？							
1.劍士 → 聖劍士／劍鬼	23	DIALOGUE(對話)	白鷺	白鷺。			白鷺				
1.劍士 → 聖劍士／劍鬼	24	DIALOGUE(對話)	你	公會的人？							
1.劍士 → 聖劍士／劍鬼	25	DIALOGUE(對話)	白鷺	不是。			白鷺				
1.劍士 → 聖劍士／劍鬼	26	DIALOGUE(對話)	你	那你為什麼在這裡？							
1.劍士 → 聖劍士／劍鬼	27	MONOLOGUE(獨白)	玩家	她停了一下。那個停頓比回答本身長。							
1.劍士 → 聖劍士／劍鬼	28	DIALOGUE(對話)	白鷺	……有人要我在這裡等。			白鷺				
1.劍士 → 聖劍士／劍鬼	29	DIALOGUE(對話)	你	等誰？							
1.劍士 → 聖劍士／劍鬼	30	DIALOGUE(對話)	白鷺	忘記了。			白鷺				
1.劍士 → 聖劍士／劍鬼	31	MONOLOGUE(獨白)	玩家	她說忘記了的時候，右手在膝上的劍鞘上敲了兩下。							
1.劍士 → 聖劍士／劍鬼	32	MONOLOGUE(獨白)	玩家	你這才注意到——那隻手只剩三根手指。							
1.劍士 → 聖劍士／劍鬼	33	DIALOGUE(對話)	你	你的手——							
1.劍士 → 聖劍士／劍鬼	34	DIALOGUE(對話)	白鷺	擋過一次不該擋的。			白鷺				
1.劍士 → 聖劍士／劍鬼	35	MONOLOGUE(獨白)	玩家	她把手收進袖子裡，動作自然得像做過很多次。							
1.劍士 → 聖劍士／劍鬼	36	DIALOGUE(對話)	白鷺	你的徽章磨成那樣，代表你揮了很多次。			白鷺				
1.劍士 → 聖劍士／劍鬼	37	DIALOGUE(對話)	白鷺	但揮得多，跟懂得為什麼揮，是兩件事。			白鷺				
1.劍士 → 聖劍士／劍鬼	38	MONOLOGUE(獨白)	玩家	她抬眼看你。那是進門以來第一次。							
1.劍士 → 聖劍士／劍鬼	39	DIALOGUE(對話)	白鷺	所以我問你——			白鷺				
1.劍士 → 聖劍士／劍鬼	40	DIALOGUE(對話)	白鷺	你的劍，是為了斬斷什麼？			白鷺				
