module	formulaId	target	input	formula	cap	floor	notes
player/combatStats	ATK_BASE	atk	S/I/D + weapon mult	atk = round(baseStat * mult); baseStat=STR(default), staff->INT, bow->DEX	-	1	baseStat with equipped bonus
player/combatStats	MAX_HP	maxHp	total VIT	maxHp = VIT * 25 + 200	-	1	base and runtime VIT changes use the same coefficient
player/combatStats	FLAT_DEF	flatDef	base VIT + pet VIT	flatDef = baseVit	-	0	fixed reduction scaled to hit/raw ATK ratio
player/combatStats	PCT_DEF	def%	equipment VIT + tier-set VIT	def = min(85, equipVit / 2)	85	0	percent reduction
player/combatStats	DODGE	dodge%	AGI + weapon bonus	dodge = min(50, AGI*0.5) + dodgeBonus	95(after clamp)	0	final clamp in calcPlayerStats
player/combatStats	HIT	hit%	DEX	hit = min(100, 70 + DEX)	100	0	
player/combatStats	CRIT	crit%	LUK	crit = min(100, LUK*0.5 + weaponCritBonus) + tierCritBonus	100(after final clamp)	0	final clamp applies after effects
player/combatStats	COMBO	combo%	AGI + weapon bonus	combo = min(100, 3 + AGI*0.5 + comboBonus)	100 base	0	combat job paths may apply additional limits
player/combatStats	DMG_ROLL_MIN	damage roll min	INT	dmgMin = min(1.0, 0.7 + INT*0.01)	1.0	0.7	max roll fixed 1.0
player/combatStats	BLOCK_BASE	blockChance%	shield equipped	blockChance = 20 if shield && not dual-wield else 0	95(after clamp)	0	
player/combatLoop	PLAYER_HIT_CHECK	hit success	player hit, monster dodge	chance = clamp(62 + hit*0.5 - dodge*0.6, 20, 95)	95	20	attack tier may force miss/perfect handling
player/combatLoop	MONSTER_HIT_CHECK	monster hit success	monster hit, player dodge	chance = clamp(62 + hit*0.5 - dodge*0.6, 20, 95)	95	20	control and tier rules may override
player/combatLoop	CRIT_DAMAGE	crit dmg	post-defense dmg and bonus	player crit multiplier = 2 * critDamageBonus * tierCritDamageBonus	-	-	monster crit base is 1.5
player/combatLoop	EXECUTE	execute	executeChance, executeThresholdPct	if monsterHP <= mHpInit*(threshold%) and random < executeChance => damage = remaining HP	-	-	instant finish
player/combatLoop	AGI_FIRST_STRIKE	monster skip attack	playerAgi - monsterAgi	if agiDiff>2 and round==1 => monster cannot attack	-	-	
player/combatLoop	AGI_SLOW	monster attack frequency	playerAgi - monsterAgi	if agiDiff>5 => monster attacks only even rounds	-	-	
discord/monsterZoneHandlers	TICK_DELAY	battle tick delay(ms)	AGI	delay = 1500 - ((min(AGI,40)-1)/39)*1000	min 500	max 1500	AGI1=1500ms, AGI40=500ms
monster/monsterService	MONSTER_ATK	monster atk	STR	atk = STR * 3	-	0	
monster/monsterService	MONSTER_DODGE	monster dodge%	AGI	dodge = min(50, round(AGI*0.5,1))	50	0	
monster/monsterService	MONSTER_HIT	monster hit%	DEX	hit = min(100, 85 + DEX)	100	0	base input to calcHitChance
