卡片ID	卡片名稱	卡片階級	卡片類型	怪物ID	怪物名稱	區域	序號	特效來源	技能名稱	特效鍵	特效中文	觸發代碼	觸發中文	觸發機率百分比	目標代碼	目標中文	持續模式	持續值	數值	數值意義	是否控制	中文說明
daishi-b-card	大史(B)卡	D	equipment	9e5c3d1a-6b2f-4e7a-8c9d-2a5f7b3d1e6c				proc	致命一擊	crit_rate_up	暴擊率提升	on_hit	攻擊命中時		self	自身	turns	1	20	暴擊率變化百分比	否	自身暴擊率+20%，持續1回合
xiaoshi-small-card	小史(小)卡	D	equipment	5e61e3b8-ed8c-4f6a-8707-1ab6dfc42b7f				proc	生命偷取	lifesteal	生命偷取	on_hit	攻擊命中時		self	自身	turns	1	15	吸血百分比（造成傷害轉回血）	否	造成傷害的15%轉為自身回復，持續1回合
xiaolang-card	小狼卡	D	equipment	4d2e5f7a-9c3b-4e8f-1a6d-8b7c2e5f9a3d				proc	力量提升	str_up	力量提升	on_hit	攻擊命中時		self	自身	turns	2	30	力量變化百分比	否	自身力量+30%，持續2回合
stone-card	石頭卡	D	equipment	7b4a5f8e-3c2d-4a9b-5e7c-1d3f6a8b2c4e				proc	防禦提升	def_up	防禦提升	on_hit	攻擊命中時		self	自身	turns	1	25	防禦力變化百分比	否	自身防禦力+25%，持續1回合
grass-goblin-card	青草地精卡	D	equipment	2c7e4a9f-5b1d-4c8e-3f7a-6d2b9c1e5a8f				proc	妖靈之力	atk_up	攻擊提升	on_hit	攻擊命中時		self	自身	turns	3	5	攻擊力變化百分比	否	自身攻擊力+5%，持續3回合
goblin-card	哥布卡	D	equipment	c7f8a3e2-9b1d-4a6e-8c9f-2d5e7a1b4c9e				proc	降攻	atk_down	降攻	on_hit	攻擊命中時		enemy	敵方	turns	3	-20	攻擊力變化百分比	否	敵方攻擊力-20%，持續3回合
green-wolf-card	綠野狼卡	D	equipment	5f3a7c1e-2d4b-4e9f-6a8c-1b5d7e2f9a3c				proc	中毒	poison	中毒	on_hit	攻擊命中時		enemy	敵方	turns	3	5	每回合扣除目標最大HP百分比	否	敵方每回合扣除最大HP 5%，持續3回合
monster-card-19fecf53-1ee1-48bc-a097-42bccbe12227	大野兔(B)怪物卡	D	monster_card	19fecf53-1ee1-48bc-a097-42bccbe12227	大野兔(B)	beginner		proc	攻擊提升	atk_up	攻擊提升	on_hit	攻擊命中時	26	self	自身	turns	2	10	攻擊力變化百分比	否	攻擊命中時有26%機率觸發，自身攻擊力提升10%（持續2回合）。
monster-card-75fc9a55-3f1b-406d-92e7-3ec4fd787e44	小史(小)怪物卡	D	monster_card	75fc9a55-3f1b-406d-92e7-3ec4fd787e44	小史(小)	beginner		proc	生命偷取	lifesteal	生命偷取	on_hit	攻擊命中時	20	self	自身	turns	1	10	吸血百分比（造成傷害轉回血）	否	攻擊命中時有20%機率觸發，造成傷害的10%轉為自身回復（持續1回合）。
monster-card-92974d12-fd4d-4482-8ea7-171712ae894c	小史(中)怪物卡	D	monster_card	92974d12-fd4d-4482-8ea7-171712ae894c	小史(中)	beginner		proc	生命偷取	lifesteal	生命偷取	on_hit	攻擊命中時	20	self	自身	turns	1	10	吸血百分比（造成傷害轉回血）	否	攻擊命中時有20%機率觸發，造成傷害的10%轉為自身回復（持續1回合）。
monster-card-ac87e4b7-2c1c-4d6c-8fa8-c873fc26039f	野兔怪物卡	D	monster_card	ac87e4b7-2c1c-4d6c-8fa8-c873fc26039f	野兔	beginner		proc	中毒	poison	中毒	on_hit	攻擊命中時	20	enemy	敵方	turns	2	6	每回合扣除目標最大HP百分比	否	攻擊命中時有20%機率使敵方中毒；中毒期間每回合扣除最大HP 6%（持續2回合）。
monster-card-5606a251-bea4-4d4c-bd37-d985a7d7a6d3	蘑菇怪怪物卡	D	monster_card	5606a251-bea4-4d4c-bd37-d985a7d7a6d3	蘑菇怪	beginner		proc	降攻	atk_down	降攻	on_hit	攻擊命中時	22	enemy	敵方	turns	2	-12	攻擊力變化百分比	否	攻擊命中時有22%機率觸發，敵方攻擊力下降12%（持續2回合）。
monster-card-f24bfc8c-4eba-4c10-85a0-73e77e4f6448	古城弓手怪物卡	A	monster_card	f24bfc8c-4eba-4c10-85a0-73e77e4f6448	古城弓手	hard		proc	暴擊率提升	crit_rate_up	暴擊率提升	on_hit	攻擊命中時	24	self	自身	turns	2	28	暴擊率變化百分比	否	攻擊命中時有24%機率觸發，自身暴擊率提升28%（持續2回合）。
monster-card-32a783be-798c-4640-bd2d-00af3e330313	古城狂戰士怪物卡	A	monster_card	32a783be-798c-4640-bd2d-00af3e330313	古城狂戰士	hard		proc	黑暗詛咒	dark_curse	黑暗詛咒	on_hit	攻擊命中時	25	enemy	敵方	turns	3	-28	全屬性變化百分比	否	攻擊命中時有25%機率施加黑暗詛咒，使敵方全屬性下降28%（持續3回合）。
