怪物ID	怪物名稱	區域	序號	怪物等級	卡片ID	卡片名稱	卡片階級	怪物圖片	卡片圖片
75fc9a55-3f1b-406d-92e7-3ec4fd787e44	小史(小)	beginner	1	1	monster-card-75fc9a55-3f1b-406d-92e7-3ec4fd787e44	小史(小)怪物卡	D		
ac87e4b7-2c1c-4d6c-8fa8-c873fc26039f	野兔	beginner	2	2	monster-card-ac87e4b7-2c1c-4d6c-8fa8-c873fc26039f	野兔怪物卡	D		
5606a251-bea4-4d4c-bd37-d985a7d7a6d3	蘑菇怪	beginner	3	2	monster-card-5606a251-bea4-4d4c-bd37-d985a7d7a6d3	蘑菇怪怪物卡	D		
92974d12-fd4d-4482-8ea7-171712ae894c	小史(中)	beginner	4	3	monster-card-92974d12-fd4d-4482-8ea7-171712ae894c	小史(中)怪物卡	D		
19fecf53-1ee1-48bc-a097-42bccbe12227	大野兔(B)	beginner	5	3	monster-card-19fecf53-1ee1-48bc-a097-42bccbe12227	大野兔(B)怪物卡	D		
5152b379-9bdd-404a-acb4-b80935664aba	城牆衛兵	hard	1	20	monster-card-5152b379-9bdd-404a-acb4-b80935664aba	城牆衛兵怪物卡	A		
f24bfc8c-4eba-4c10-85a0-73e77e4f6448	古城弓手	hard	2	20	monster-card-f24bfc8c-4eba-4c10-85a0-73e77e4f6448	古城弓手怪物卡	A		
814f097c-283e-4c35-98b5-7aaa8b08dd7c	石像鬼	hard	3	22	monster-card-814f097c-283e-4c35-98b5-7aaa8b08dd7c	石像鬼怪物卡	A		
2d0d3516-e7ef-4916-b966-b38145a18fd4	古城法師	hard	4	22	monster-card-2d0d3516-e7ef-4916-b966-b38145a18fd4	古城法師怪物卡	A		
388a118f-b839-4287-ba02-0c7a12cd0c06	廢墟蠍兵	hard	5	23	monster-card-388a118f-b839-4287-ba02-0c7a12cd0c06	廢墟蠍兵怪物卡	A		
53fdc9ee-b719-4f8c-a93e-3ab5a0a3ce09	冰封騎士	hard	6	24	monster-card-53fdc9ee-b719-4f8c-a93e-3ab5a0a3ce09	冰封騎士怪物卡	A		
9a0ac6a5-4f2e-4186-a66a-73a6de9cb5e2	詛咒祭司	hard	7	24	monster-card-9a0ac6a5-4f2e-4186-a66a-73a6de9cb5e2	詛咒祭司怪物卡	A		
8eea80b7-c836-413b-8912-7c3ce6a899a7	鐵甲衛將	hard	8	25	monster-card-8eea80b7-c836-413b-8912-7c3ce6a899a7	鐵甲衛將怪物卡	A		
4a46dd14-b74c-4a5d-9cde-b7d0f270ce0f	古城刺客	hard	9	25	monster-card-4a46dd14-b74c-4a5d-9cde-b7d0f270ce0f	古城刺客怪物卡	A		
139df36b-f838-4875-b3f0-2d9003fc6f8f	毒霧蜘蛛	hard	10	26	monster-card-139df36b-f838-4875-b3f0-2d9003fc6f8f	毒霧蜘蛛怪物卡	A		
32a783be-798c-4640-bd2d-00af3e330313	古城狂戰士	hard	11	27	monster-card-32a783be-798c-4640-bd2d-00af3e330313	古城狂戰士怪物卡	A		
35ec8cc7-9f0c-4d61-8a40-343d8857be2f	黑焰巫師	hard	12	27	monster-card-35ec8cc7-9f0c-4d61-8a40-343d8857be2f	黑焰巫師怪物卡	A		
5c20d4ba-5f38-4d6b-a724-369eb632ff1d	城堡魔像(B)	hard	13	28	monster-card-5c20d4ba-5f38-4d6b-a724-369eb632ff1d	城堡魔像(B)怪物卡	A		
69459022-2457-48e3-9804-d6f9be346a25	古城將軍(B)	hard	14	30	monster-card-69459022-2457-48e3-9804-d6f9be346a25	古城將軍(B)怪物卡	A		
0496ea5d-786e-4b07-ba65-30949c1afe31	廢都魔王(B)	hard	15	35	monster-card-0496ea5d-786e-4b07-ba65-30949c1afe31	廢都魔王(B)怪物卡	A		
657afc88-c6db-4851-8c4c-50f225b18624	甲蟹	mid	1	12	monster-card-657afc88-c6db-4851-8c4c-50f225b18624	甲蟹怪物卡	B	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1775897924/equipment-game/monsters/a8jyo3w5n88t5rk1o0ps.jpg	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1775897924/equipment-game/monsters/a8jyo3w5n88t5rk1o0ps.jpg
13f56b92-709e-42ff-87d2-e8f129ed9207	牙牙狼	mid	2	12	monster-card-13f56b92-709e-42ff-87d2-e8f129ed9207	牙牙狼怪物卡	B	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1775897926/equipment-game/monsters/aw1lndlgb5zloz1xmgfs.webp	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1775897926/equipment-game/monsters/aw1lndlgb5zloz1xmgfs.webp
b9c226a8-ea33-41de-9c9b-be24824a9fb1	巨巨	mid	3	14	monster-card-b9c226a8-ea33-41de-9c9b-be24824a9fb1	巨巨怪物卡	B	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1775897927/equipment-game/monsters/ejkmi2idtw6mdvbxb3zt.jpg	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1775897927/equipment-game/monsters/ejkmi2idtw6mdvbxb3zt.jpg
f4bed595-74f8-493b-8551-9158f4b5381d	黑暗弓手	mid	4	14	monster-card-f4bed595-74f8-493b-8551-9158f4b5381d	黑暗弓手怪物卡	B	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1775897929/equipment-game/monsters/t6rvihp5runnkoqwgjnc.png	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1775897929/equipment-game/monsters/t6rvihp5runnkoqwgjnc.png
517f9a27-f6f7-4251-8cf8-2140f02222c0	米拉桑(B)	mid	5	15	monster-card-517f9a27-f6f7-4251-8cf8-2140f02222c0	米拉桑(B)怪物卡	B	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1775897931/equipment-game/monsters/s5hdnkitg6lmqtcts9qs.png	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1775897931/equipment-game/monsters/s5hdnkitg6lmqtcts9qs.png
3065b7ca-8839-4be4-9d02-0821932cd408	小金(稀)	mid	6	1	monster-card-3065b7ca-8839-4be4-9d02-0821932cd408	小金(稀)怪物卡	B	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1775897934/equipment-game/monsters/ftaf4platuty8b4u1dlu.png	https://res.cloudinary.com/dxcbxpqmj/image/upload/v1775897934/equipment-game/monsters/ftaf4platuty8b4u1dlu.png
