zone	seq	monsterId	monsterName	dropOrder	itemId	itemName	itemType	tier	equipSlot	weaponType	chance
normal											
normal				1	be6f16fa-4e72-47ab-9a08-d580bd5490ef	銅戒指(右)	equipment	D	accessory_r		15
normal				2	a56bd609-cf0b-4924-b724-891f221fc0b9	木製單手劍	equipment	D	weapon	sword_1h	15
beginner	1	75fc9a55-3f1b-406d-92e7-3ec4fd787e44	小史(小)	1	33d319ec-cb62-4826-8bcc-82a6fe52b8fa	初級單手法杖	equipment	D	weapon	staff_1h	25
beginner	1	75fc9a55-3f1b-406d-92e7-3ec4fd787e44	小史(小)	2	d5936211-685a-4cd7-a1e9-24524725da96	初級雙手法杖	equipment	D	weapon	staff_2h	25
beginner	1	75fc9a55-3f1b-406d-92e7-3ec4fd787e44	小史(小)	3	a91fab15-a786-490a-ae7f-6ecd536febb1	布口罩	equipment	D	head_low		25
beginner	1	75fc9a55-3f1b-406d-92e7-3ec4fd787e44	小史(小)	4	7bdf0277-dcd5-4173-b3ff-d93ccaa9e293	布帽	equipment	D	head_top		25
beginner	2	ac87e4b7-2c1c-4d6c-8fa8-c873fc26039f	野兔	1	912125cb-6738-4694-9657-81e7f6a5c2da	布披風	equipment	D	garment		25
beginner	2	ac87e4b7-2c1c-4d6c-8fa8-c873fc26039f	野兔	2	ee883bee-93c6-450d-b196-754d3e345d2a	布衣	equipment	D	armor		25
beginner	2	ac87e4b7-2c1c-4d6c-8fa8-c873fc26039f	野兔	3	3667cf4f-18cb-4861-b4cb-8700805d8bcf	木框護目鏡	equipment	D	head_mid		25
beginner	2	ac87e4b7-2c1c-4d6c-8fa8-c873fc26039f	野兔	4	4a7c2dd6-1d33-4613-a5aa-913924d12eed	木盾	equipment	D	shield		25
beginner	3	5606a251-bea4-4d4c-bd37-d985a7d7a6d3	蘑菇怪	1	421196aa-83e4-4f2e-82f6-dc05077b115a	木製匕首	equipment	D	weapon	dagger	25
beginner	3	5606a251-bea4-4d4c-bd37-d985a7d7a6d3	蘑菇怪	2	a56bd609-cf0b-4924-b724-891f221fc0b9	木製單手劍	equipment	D	weapon	sword_1h	25
beginner	3	5606a251-bea4-4d4c-bd37-d985a7d7a6d3	蘑菇怪	3	4885e098-3624-4c6c-9eb9-e4b27c2fb5ab	木製單手斧	equipment	D	weapon	axe_1h	25
beginner	3	5606a251-bea4-4d4c-bd37-d985a7d7a6d3	蘑菇怪	4	6da9f4e6-aac1-4088-9000-7111fd4926b0	木製單手槌	equipment	D	weapon	mace_1h	25
beginner	4	92974d12-fd4d-4482-8ea7-171712ae894c	小史(中)	1	d95a76a8-79ab-4dc7-ab07-82a39dbb5912	木製弓	equipment	D	weapon	bow	25
beginner	4	92974d12-fd4d-4482-8ea7-171712ae894c	小史(中)	2	ce6f0608-2750-47b4-aa26-14d9c1aa0f4c	木製雙手劍	equipment	D	weapon	sword_2h	25
beginner	4	92974d12-fd4d-4482-8ea7-171712ae894c	小史(中)	3	2271e23c-9648-430e-944b-cea2107ee8ec	木製雙手斧	equipment	D	weapon	axe_2h	25
beginner	4	92974d12-fd4d-4482-8ea7-171712ae894c	小史(中)	4	2fcf7576-4e74-4280-b1e6-0d7da7b58dda	木製雙手槌	equipment	D	weapon	mace_2h	25
beginner	5	19fecf53-1ee1-48bc-a097-42bccbe12227	大野兔(B)	1	8c9ac7c4-e00d-44fb-9582-8c68b99c2357	草鞋	equipment	D	shoes		25
beginner	5	19fecf53-1ee1-48bc-a097-42bccbe12227	大野兔(B)	2	be6f16fa-4e72-47ab-9a08-d580bd5490ef	銅戒指(右)	equipment	D	accessory_r		25
beginner	5	19fecf53-1ee1-48bc-a097-42bccbe12227	大野兔(B)	3	19e24aca-92f5-4f81-8ab9-cc4f8ba73a72	銅戒指(左)	equipment	D	accessory_l		25
hard	1	5152b379-9bdd-404a-acb4-b80935664aba	城牆衛兵	1	4196e3d5-811f-4816-aa94-a1e8cc31ebfc	魔晶石戒(左)	equipment	B	accessory_l		15
hard	1	5152b379-9bdd-404a-acb4-b80935664aba	城牆衛兵	2	a314493c-efcd-43e5-bebc-935ef1d588a5	精鋼弓	equipment	B	weapon	bow	15
hard	1	5152b379-9bdd-404a-acb4-b80935664aba	城牆衛兵	3	3cdbaafb-df15-41e5-bca9-16453b72669e	精鋼盾	equipment	B	shield		15
hard	2	f24bfc8c-4eba-4c10-85a0-73e77e4f6448	古城弓手	1	11c00245-6d43-4ab5-a68b-a7494a9fba84	鎖甲	equipment	B	armor		15
hard	2	f24bfc8c-4eba-4c10-85a0-73e77e4f6448	古城弓手	2	25648e7c-d628-4d5d-bfed-1dfbe6a5e650	精鋼雙手斧	equipment	B	weapon	axe_2h	15
hard	2	f24bfc8c-4eba-4c10-85a0-73e77e4f6448	古城弓手	3	f005d0bb-7510-4905-a1bd-6fe55cc84af5	精鋼護目鏡	equipment	B	head_mid		15
hard	3	814f097c-283e-4c35-98b5-7aaa8b08dd7c	石像鬼	1	a314493c-efcd-43e5-bebc-935ef1d588a5	精鋼弓	equipment	B	weapon	bow	15
hard	3	814f097c-283e-4c35-98b5-7aaa8b08dd7c	石像鬼	2	3cdbaafb-df15-41e5-bca9-16453b72669e	精鋼盾	equipment	B	shield		15
hard	3	814f097c-283e-4c35-98b5-7aaa8b08dd7c	石像鬼	3	7cdbe248-2e54-4798-9ddf-c103e80d2755	鐵盔	equipment	B	head_top		15
hard	4	2d0d3516-e7ef-4916-b966-b38145a18fd4	古城法師	1	255bd660-555d-47a9-bdad-d1fd8eb36c1b	精鋼靴	equipment	B	shoes		15
hard	4	2d0d3516-e7ef-4916-b966-b38145a18fd4	古城法師	2	0a2c7f28-4b49-4f3b-9ee7-2c951b4699f2	鐵面罩	equipment	B	head_low		15
hard	4	2d0d3516-e7ef-4916-b966-b38145a18fd4	古城法師	3	7cdbe248-2e54-4798-9ddf-c103e80d2755	鐵盔	equipment	B	head_top		15
hard	5	388a118f-b839-4287-ba02-0c7a12cd0c06	廢墟蠍兵	1	8218a81c-98ed-49d3-8a16-a38189e00be6	精鋼單手斧	equipment	B	weapon	axe_1h	15
hard	5	388a118f-b839-4287-ba02-0c7a12cd0c06	廢墟蠍兵	2	e3bcdb33-4a28-499e-9c65-50240368550f	精鋼單手劍	equipment	B	weapon	sword_1h	15
hard	5	388a118f-b839-4287-ba02-0c7a12cd0c06	廢墟蠍兵	3	3cdbaafb-df15-41e5-bca9-16453b72669e	精鋼盾	equipment	B	shield		15
hard	6	53fdc9ee-b719-4f8c-a93e-3ab5a0a3ce09	冰封騎士	1	d08f99f6-6a4f-4afb-a02d-ec1a2cd69b2e	高級單手法杖	equipment	B	weapon	staff_1h	15
hard	6	53fdc9ee-b719-4f8c-a93e-3ab5a0a3ce09	冰封騎士	2	9e7fc009-c3ab-4c3f-b7d0-b1c17cb2e9d4	精鋼雙手槌	equipment	B	weapon	mace_2h	15
hard	6	53fdc9ee-b719-4f8c-a93e-3ab5a0a3ce09	冰封騎士	3	49a6108d-a199-4a7a-91ea-630814945399	精鋼單手槌	equipment	B	weapon	mace_1h	15
hard	7	9a0ac6a5-4f2e-4186-a66a-73a6de9cb5e2	詛咒祭司	1	8534e2da-47c0-4493-8051-a831b6476f03	絲綢披風	equipment	B	garment		15
hard	7	9a0ac6a5-4f2e-4186-a66a-73a6de9cb5e2	詛咒祭司	2	0a2c7f28-4b49-4f3b-9ee7-2c951b4699f2	鐵面罩	equipment	B	head_low		15
hard	7	9a0ac6a5-4f2e-4186-a66a-73a6de9cb5e2	詛咒祭司	3	255bd660-555d-47a9-bdad-d1fd8eb36c1b	精鋼靴	equipment	B	shoes		15
hard	8	8eea80b7-c836-413b-8912-7c3ce6a899a7	鐵甲衛將	1	6c47d7a3-0937-4f9b-b447-2cc9f55ba749	精鋼匕首	equipment	B	weapon	dagger	15
hard	8	8eea80b7-c836-413b-8912-7c3ce6a899a7	鐵甲衛將	2	a314493c-efcd-43e5-bebc-935ef1d588a5	精鋼弓	equipment	B	weapon	bow	15
hard	8	8eea80b7-c836-413b-8912-7c3ce6a899a7	鐵甲衛將	3	11c00245-6d43-4ab5-a68b-a7494a9fba84	鎖甲	equipment	B	armor		15
hard	9	4a46dd14-b74c-4a5d-9cde-b7d0f270ce0f	古城刺客	1	255bd660-555d-47a9-bdad-d1fd8eb36c1b	精鋼靴	equipment	B	shoes		15
hard	9	4a46dd14-b74c-4a5d-9cde-b7d0f270ce0f	古城刺客	2	8534e2da-47c0-4493-8051-a831b6476f03	絲綢披風	equipment	B	garment		15
hard	9	4a46dd14-b74c-4a5d-9cde-b7d0f270ce0f	古城刺客	3	f005d0bb-7510-4905-a1bd-6fe55cc84af5	精鋼護目鏡	equipment	B	head_mid		15
hard	10	139df36b-f838-4875-b3f0-2d9003fc6f8f	毒霧蜘蛛	1	49a6108d-a199-4a7a-91ea-630814945399	精鋼單手槌	equipment	B	weapon	mace_1h	15
hard	10	139df36b-f838-4875-b3f0-2d9003fc6f8f	毒霧蜘蛛	2	3cdbaafb-df15-41e5-bca9-16453b72669e	精鋼盾	equipment	B	shield		15
hard	10	139df36b-f838-4875-b3f0-2d9003fc6f8f	毒霧蜘蛛	3	f005d0bb-7510-4905-a1bd-6fe55cc84af5	精鋼護目鏡	equipment	B	head_mid		15
hard	11	32a783be-798c-4640-bd2d-00af3e330313	古城狂戰士	1	8218a81c-98ed-49d3-8a16-a38189e00be6	精鋼單手斧	equipment	B	weapon	axe_1h	15
hard	11	32a783be-798c-4640-bd2d-00af3e330313	古城狂戰士	2	e3bcdb33-4a28-499e-9c65-50240368550f	精鋼單手劍	equipment	B	weapon	sword_1h	15
hard	11	32a783be-798c-4640-bd2d-00af3e330313	古城狂戰士	3	feb40b36-5558-44af-a0d4-294bc8acaf46	魔晶石戒(右)	equipment	B	accessory_r		15
hard	12	35ec8cc7-9f0c-4d61-8a40-343d8857be2f	黑焰巫師	1	9e7fc009-c3ab-4c3f-b7d0-b1c17cb2e9d4	精鋼雙手槌	equipment	B	weapon	mace_2h	15
hard	12	35ec8cc7-9f0c-4d61-8a40-343d8857be2f	黑焰巫師	2	e17d3bad-4b8e-4603-9351-0e1432a21a11	精鋼雙手劍	equipment	B	weapon	sword_2h	15
