怪物ID	怪物名稱	區域	地圖階級	草案特效鍵	草案特效中文	觸發代碼	觸發中文	觸發機率百分比	目標代碼	目標中文	持續模式	持續值	數值	是否控制	中文說明草案
19fecf53-1ee1-48bc-a097-42bccbe12227	大野兔(B)	beginner	D	atk_up	攻擊提升	on_hit	攻擊命中時	25	self	自身	turns	2	8	否	攻擊提升：25% 觸發，目標自身，持續2回合，數值8。
75fc9a55-3f1b-406d-92e7-3ec4fd787e44	小史(小)	beginner	D	def_up	防禦提升	on_hit	攻擊命中時	25	self	自身	turns	2	10	否	防禦提升：25% 觸發，目標自身，持續2回合，數值10。
92974d12-fd4d-4482-8ea7-171712ae894c	小史(中)	beginner	D	lifesteal	生命偷取	on_hit	攻擊命中時	20	self	自身	turns	1	8	否	生命偷取：20% 觸發，目標自身，持續1回合，數值8。
ac87e4b7-2c1c-4d6c-8fa8-c873fc26039f	野兔	beginner	D	poison	中毒	on_hit	攻擊命中時	20	enemy	敵方	turns	2	4	否	中毒：20% 觸發，目標敵方，持續2回合，數值4。
5606a251-bea4-4d4c-bd37-d985a7d7a6d3	蘑菇怪	beginner	D	atk_down	降攻	on_hit	攻擊命中時	20	enemy	敵方	turns	2	-10	否	降攻：20% 觸發，目標敵方，持續2回合，數值-10。
321a08e9-8fed-4a80-9526-b1f977fd9103	大史(B)	normal	C	str_up	力量提升	on_hit	攻擊命中時	25	self	自身	turns	2	15	否	力量提升：25% 觸發，目標自身，持續2回合，數值15。
c39bdddd-a33d-4e34-8019-d17020a8083b	小史	normal	C	def_up	防禦提升	on_hit	攻擊命中時	25	self	自身	turns	2	15	否	防禦提升：25% 觸發，目標自身，持續2回合，數值15。
03c93103-eddb-4265-96ca-a8a76bb82a02	小金(稀)	normal	C	crit_rate_up	暴擊率提升	on_hit	攻擊命中時	20	self	自身	turns	2	12	否	暴擊率提升：20% 觸發，目標自身，持續2回合，數值12。
a8ef443e-3a0d-4ccb-9290-d6394edaa59f	小狼	normal	C	bleed	流血	on_hit	攻擊命中時	22	enemy	敵方	turns	3	8	否	流血：22% 觸發，目標敵方，持續3回合，數值8。
2d226eea-934a-4787-8ff7-9f19d12ac590	石頭	normal	C	counter	反擊	on_hit	攻擊命中時	18	self	自身	turns	1	25	否	反擊：18% 觸發，目標自身，持續1回合，數值25。
6f321e26-e74e-4a05-a55a-6145da53373d	青草地精	normal	C	silence	沉默	on_hit	攻擊命中時	12	enemy	敵方	turns	1	1	是	沉默：12% 觸發，目標敵方，持續1回合，數值1。
f00fd7b1-9f57-4532-9901-f4d4d74f132d	哥布	normal	C	burn	燃燒	on_hit	攻擊命中時	20	enemy	敵方	turns	2	7	否	燃燒：20% 觸發，目標敵方，持續2回合，數值7。
a1ab762c-cd0b-4270-994b-74b68c242840	綠野狼	normal	C	atk_up	攻擊提升	on_hit	攻擊命中時	25	self	自身	turns	2	12	否	攻擊提升：25% 觸發，目標自身，持續2回合，數值12。
3065b7ca-8839-4be4-9d02-0821932cd408	小金(稀)	mid	B	poison	中毒	on_hit	攻擊命中時	25	enemy	敵方	turns	3	12	否	中毒：25% 觸發，目標敵方，持續3回合，數值12。
13f56b92-709e-42ff-87d2-e8f129ed9207	牙牙狼	mid	B	bleed	流血	on_hit	攻擊命中時	25	enemy	敵方	turns	3	12	否	流血：25% 觸發，目標敵方，持續3回合，數值12。
b9c226a8-ea33-41de-9c9b-be24824a9fb1	巨巨	mid	B	stun	暈眩	on_hit	攻擊命中時	15	enemy	敵方	turns	1	1	是	暈眩：15% 觸發，目標敵方，持續1回合，數值1。
657afc88-c6db-4851-8c4c-50f225b18624	甲蟹	mid	B	freeze	冰凍	on_hit	攻擊命中時	18	enemy	敵方	turns	2	-30	是	冰凍：18% 觸發，目標敵方，持續2回合，數值-30。
517f9a27-f6f7-4251-8cf8-2140f02222c0	米拉桑(B)	mid	B	charm	魅惑	on_hit	攻擊命中時	12	enemy	敵方	turns	1	1	是	魅惑：12% 觸發，目標敵方，持續1回合，數值1。
343c18ce-9f87-4532-bbb4-618a64fe5559	林地妖靈(樹樹)	mid	B	lightning	雷擊	on_hit	攻擊命中時	20	enemy	敵方	turns	2	18	否	雷擊：20% 觸發，目標敵方，持續2回合，數值18。
21fb614f-7f8b-4aad-b248-9418d8cbd8c0	森林之獸	mid	B	dark_curse	黑暗詛咒	on_hit	攻擊命中時	20	enemy	敵方	turns	3	-15	否	黑暗詛咒：20% 觸發，目標敵方，持續3回合，數值-15。
9f0c5372-7232-4c6f-8083-409a28b1b374	森林古樹	mid	B	life_steal_strong	強效生命偷取	on_hit	攻擊命中時	18	self	自身	turns	1	20	否	強效生命偷取：18% 觸發，目標自身，持續1回合，數值20。
f6145411-1a2e-4919-9ee4-fe27b3a31c07	森林巫師	mid	B	ancient_power	遠古之力	on_hit	攻擊命中時	15	self	自身	turns	2	25	否	遠古之力：15% 觸發，目標自身，持續2回合，數值25。
