分類,槽位,武器類型,D名稱,D_STR,D_AGI,D_VIT,D_INT,D_DEX,D_LUK,C名稱,C_STR,C_AGI,C_VIT,C_INT,C_DEX,C_LUK,B名稱,B_STR,B_AGI,B_VIT,B_INT,B_DEX,B_LUK,A名稱,A_STR,A_AGI,A_VIT,A_INT,A_DEX,A_LUK
武器,weapon,staff_1h,木製單手法杖,0,0,0,2,1,0,鐵製單手法杖,0,0,0,5,1,0,鋼製單手法杖,0,0,0,8,3,0,秘銀單手法杖,0,0,0,14,5,0
武器,weapon,staff_2h,木製雙手法杖,0,0,0,5,0,1,鐵製雙手法杖,0,0,0,8,0,1,鋼製雙手法杖,0,0,0,12,0,3,秘銀雙手法杖,0,0,0,19,4,0
武器,weapon,bow,,,,,,,,立直棒,0,1,2,1,8,-3,,,,,,,,,,,,,,
武器,weapon,dagger,木製匕首,1,3,0,0,0,0,鐵製匕首,2,4,0,0,0,0,鋼製匕首,4,7,0,0,0,0,秘銀匕首,4,15,0,0,0,0
武器,weapon,bow,木製弓,0,1,0,0,2,0,鐵製弓,0,2,0,0,5,2,鋼製弓,0,3,0,0,12,0,秘銀弓,0,4,0,0,19,0
武器,weapon,axe_1h,木製單手斧,2,0,0,0,0,1,鐵製單手斧,5,0,0,0,0,1,鋼製單手斧,8,0,0,0,0,3,秘銀單手斧,14,0,0,0,0,5
武器,weapon,mace_1h,木製單手槌,2,0,1,0,0,0,鐵製單手槌,5,0,1,0,0,0,鋼製單手槌,8,0,3,0,0,0,秘銀單手槌,14,0,5,0,0,0
武器,weapon,sword_1h,木製單手劍,3,0,0,0,0,0,鐵製單手劍,6,0,0,0,0,0,鋼製單手劍,11,0,0,0,0,0,秘銀單手劍,19,0,0,0,0,0
武器,weapon,axe_2h,木製雙手斧,5,0,0,0,0,1,鐵製雙手斧,7,0,0,0,0,2,鋼製雙手斧,12,0,0,0,0,3,秘銀雙手斧,20,0,0,0,0,5
武器,weapon,mace_2h,木製雙手槌,5,0,1,0,0,0,鐵製雙手槌,7,0,2,0,0,0,鋼製雙手槌,12,0,3,0,0,0,秘銀雙手槌,20,0,5,0,0,0
武器,weapon,sword_2h,木製雙手劍,6,0,0,0,0,0,鐵製雙手劍,10,0,0,0,0,0,鋼製雙手劍,15,0,0,0,0,0,秘銀雙手劍,25,0,0,0,0,0
盾,shield,,木盾,0,0,2,0,0,0,鐵盾,0,0,5,0,0,0,鋼盾,0,0,8,0,0,0,秘銀盾,0,0,14,0,0,0
頭上,head_top,,布帽,0,1,1,0,0,0,皮帽,0,2,2,0,0,0,鐵帽,0,2,7,0,0,0,鋼鐵帽,0,0,13,0,0,0
頭上,head_top,,迅紋布帽,0,1,0,0,1,0,迅紋皮帽,0,0,2,0,2,0,迅紋鐵帽,0,0,4,0,4,0,迅紋鋼鐵帽,0,0,5,0,8,0
頭上,head_top,,鬥紋布盔,1,0,1,0,0,0,鬥紋皮盔,2,0,2,0,0,0,鬥紋鐵盔,4,0,4,0,0,0,鬥紋鋼鐵盔,8,0,5,0,0,0
頭上,head_top,,智紋布帽,0,0,1,1,0,0,智紋皮帽,0,0,2,2,0,0,智紋鐵帽,0,0,4,4,0,0,智紋鋼鐵帽,0,0,5,8,0,0
頭中,head_mid,,迅紋布護目,0,0,0,1,1,0,迅紋皮護目,0,0,1,0,3,0,迅紋鐵護目,0,0,4,0,4,0,迅紋鋼鐵護目,0,0,5,0,8,0
頭中,head_mid,,鬥紋布護目,1,0,0,0,1,0,鬥紋皮護目,3,0,1,0,0,0,鬥紋鐵護目,4,0,4,0,0,0,鬥紋鋼鐵護目,3,0,5,0,5,0
頭中,head_mid,,智紋布鏡片,0,0,0,1,1,0,智紋皮鏡片,0,0,1,3,0,0,智紋鐵鏡片,0,0,3,5,0,0,智紋鋼鐵鏡片,0,0,5,5,3,0
頭中,head_mid,,新手護目鏡,0,0,2,0,0,0,護目鏡,1,0,3,0,0,0,鐵護目鏡,2,0,5,0,1,0,鋼鐵護目鏡,3,0,10,0,0,0
頭下,head_low,,布口罩,0,0,2,0,0,0,皮口罩,0,0,4,0,0,0,鐵口罩,0,0,8,0,0,0,鋼鐵口罩,2,0,9,0,0,0
頭下,head_low,,迅紋布面罩,0,0,1,0,1,0,迅紋皮面罩,0,0,1,0,3,0,迅紋鐵面罩,0,0,5,0,3,0,迅紋鋼鐵面罩,0,0,7,0,4,3
頭下,head_low,,鬥紋布面甲,1,0,1,0,0,0,鬥紋皮面甲,3,0,1,0,0,0,鬥紋鐵面甲,3,0,5,0,0,0,鬥紋鋼鐵面甲,4,0,7,0,0,3
頭下,head_low,,智紋布口飾,0,0,1,1,0,0,智紋皮口飾,0,0,1,3,0,0,智紋鐵口飾,0,0,5,3,0,0,智紋鋼鐵口飾,0,0,7,4,0,3
鎧甲,armor,,布衣,0,0,2,0,0,0,皮甲,0,0,4,0,0,0,鐵甲,0,0,11,0,0,0,鋼鐵甲,0,0,15,0,0,0
鎧甲,armor,,迅紋布甲,0,0,1,0,1,0,迅紋皮甲,0,1,1,0,2,0,迅紋鐵甲,0,1,7,0,3,0,迅紋鋼鐵甲,0,1,9,0,5,0
鎧甲,armor,,鬥紋布甲,1,0,1,0,0,0,鬥紋皮甲,2,1,1,0,0,0,鬥紋鐵甲,3,0,7,0,0,1,鬥紋鋼鐵甲,4,0,9,0,0,2
鎧甲,armor,,智紋布袍,0,0,1,1,0,0,智紋皮袍,0,0,1,2,1,0,智紋鐵袍,0,0,6,4,0,1,智紋鋼鐵袍,0,0,5,9,1,0
披風,garment,,布披風,0,0,2,0,0,0,皮披風,0,1,3,0,0,0,鐵披風,0,1,5,0,0,0,鋼鐵披風,0,1,11,0,0,0
披風,garment,,迅紋布披肩,0,0,1,0,1,0,迅紋皮披肩,0,0,1,0,3,0,迅紋鐵披肩,0,2,4,0,0,0,迅紋鋼鐵披肩,0,0,7,0,5,0
披風,garment,,鬥紋布披肩,1,0,1,0,0,0,鬥紋皮披肩,3,0,1,0,0,0,鬥紋鐵披肩,3,0,3,0,0,0,鬥紋鋼鐵披肩,5,0,7,0,0,0
披風,garment,,智紋布披風,0,0,1,1,0,0,智紋皮披風,0,0,1,3,0,0,智紋鐵披風,0,0,3,3,0,0,智紋鋼鐵披風,0,0,7,5,0,0
鞋子,shoes,,布鞋,0,0,2,0,0,0,皮靴,0,2,2,0,0,0,鐵靴,0,3,5,0,0,0,鋼鐵靴,0,5,8,0,0,0
鞋子,shoes,,迅紋布靴,0,0,1,0,1,0,迅紋皮靴,0,0,2,0,2,0,迅紋鐵靴,0,0,3,0,5,0,迅紋鋼鐵靴,0,0,7,0,6,0
鞋子,shoes,,鬥紋布靴,1,0,1,0,0,0,鬥紋皮靴,2,0,2,0,0,0,鬥紋鐵靴,5,0,3,0,0,0,鬥紋鋼鐵靴,6,0,7,0,0,0
鞋子,shoes,,智紋布靴,0,0,1,1,0,0,智紋皮靴,0,0,0,2,2,0,智紋鐵靴,0,0,5,3,0,0,智紋鋼鐵靴,0,0,7,6,0,0
左飾品,accessory_l,,迅紋銅戒指(左),0,0,0,0,1,0,迅紋鐵戒指(左),0,0,0,0,3,0,迅紋銀戒指(左),0,0,0,0,4,1,迅紋金戒指(左),0,0,0,0,5,2
左飾品,accessory_l,,鬥紋銅戒指(左),1,0,0,0,0,0,鬥紋鐵戒指(左),2,0,0,0,0,0,鬥紋銀戒指(左),3,0,0,0,0,1,鬥紋金戒指(左),5,0,0,0,0,2
